Unnamed: 0,key,sentences,,,,,,,,human query+ features,only feature,only human query,without fintuning,,,,,chart,hardness,table_name,vegalite_spec
0,4,What's the breakdown of how many students are advised by each faculty rank?,,,,,,,,1,1,1,1,,,,,Pie,Medium,Faculty,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 4"", ""data"": {""values"": [{""Rank"": ""AssocProf"", ""count_"": 2}, {""Rank"": ""AsstProf"", ""count_"": 18}, {""Rank"": ""Professor"", ""count_"": 14}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""count_"", ""type"": ""quantitative""}, ""color"": {""field"": ""Rank"", ""type"": ""nominal""}}}"
1,5,How many students are advised by each faculty rank?,,,,,,,,1,1,1,1,,,,,Bar,Medium,Faculty,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 5"", ""data"": {""values"": [{""Rank"": ""AssocProf"", ""count_"": 2}, {""Rank"": ""AsstProf"", ""count_"": 18}, {""Rank"": ""Professor"", ""count_"": 14}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""Rank"", ""type"": ""nominal""}, ""y"": {""field"": ""count_"", ""type"": ""quantitative""}}}"
3,9,What’s the count of faculty members for each rank?,,,,,,,,1,1,1,1,,,,,Bar,Easy,Faculty,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 9"", ""data"": {""values"": [{""Rank"": ""AssocProf"", ""COUNT_Rank_"": 8}, {""Rank"": ""AsstProf"", ""COUNT_Rank_"": 15}, {""Rank"": ""Instructor"", ""COUNT_Rank_"": 8}, {""Rank"": ""Professor"", ""COUNT_Rank_"": 27}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""Rank"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_Rank_"", ""type"": ""quantitative""}}}"
4,14,What’s the count of faculty members for each rank?,,,,,,,,1,1,1,1,,,,,Pie,Easy,Faculty,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 14"", ""data"": {""values"": [{""Rank"": ""AssocProf"", ""COUNT_Rank_"": 8}, {""Rank"": ""AsstProf"", ""COUNT_Rank_"": 15}, {""Rank"": ""Instructor"", ""COUNT_Rank_"": 8}, {""Rank"": ""Professor"", ""COUNT_Rank_"": 27}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""COUNT_Rank_"", ""type"": ""quantitative""}, ""color"": {""field"": ""Rank"", ""type"": ""nominal""}}}"
5,21,What's the gender breakdown among assistant professors?,,,,,,,,1,1,1,0,,,,,Pie,Medium,Faculty,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 21"", ""data"": {""values"": [{""Sex"": ""F"", ""count_"": 3}, {""Sex"": ""M"", ""count_"": 12}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""count_"", ""type"": ""quantitative""}, ""color"": {""field"": ""Sex"", ""type"": ""nominal""}}}"
6,32,"Which aircraft have won matches, and how many times each?",,,,,,,,1,1,1,1,,,,,Bar,Medium,aircraft,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 32"", ""data"": {""values"": [{""Aircraft"": ""Robinson R-22"", ""COUNT_"": 2}, {""Aircraft"": ""Bell 206B3 JetRanger"", ""COUNT_"": 1}, {""Aircraft"": ""CH-47D Chinook"", ""COUNT_"": 1}, {""Aircraft"": ""Mil Mi-26"", ""COUNT_"": 2}, {""Aircraft"": ""CH-53E Super Stallion"", ""COUNT_"": 1}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""Aircraft"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_"", ""type"": ""quantitative""}}}"
7,33,What’s the distribution of description counts across the aircraft?,,,,,,,,1,1,1,1,,,,,Pie,Easy,aircraft,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 33"", ""data"": {""values"": [{""Description"": ""Heavy-lift helicopter"", ""COUNT_Description_"": 2}, {""Description"": ""Light utility helicopter"", ""COUNT_Description_"": 1}, {""Description"": ""Tandem rotor helicopter"", ""COUNT_Description_"": 1}, {""Description"": ""Turboshaft utility helicopter"", ""COUNT_Description_"": 1}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""COUNT_Description_"", ""type"": ""quantitative""}, ""color"": {""field"": ""Description"", ""type"": ""nominal""}}}"
8,34,Could you show a chart that displays how many of each aircraft description there are?,,,,,,,,1,1,1,1,,,,,Bar,Easy,aircraft,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 34"", ""data"": {""values"": [{""Description"": ""Heavy-lift helicopter"", ""COUNT_Description_"": 2}, {""Description"": ""Light utility helicopter"", ""COUNT_Description_"": 1}, {""Description"": ""Tandem rotor helicopter"", ""COUNT_Description_"": 1}, {""Description"": ""Turboshaft utility helicopter"", ""COUNT_Description_"": 1}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""Description"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_Description_"", ""type"": ""quantitative""}}}"
9,35,What’s the count of award‑winning aircraft for each name?,,,,,,,,1,1,1,1,,,,,Pie,Medium,aircraft,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 35"", ""data"": {""values"": [{""Aircraft"": ""Bell 206B3 JetRanger"", ""COUNT_Aircraft_"": 1}, {""Aircraft"": ""CH-47D Chinook"", ""COUNT_Aircraft_"": 1}, {""Aircraft"": ""CH-53E Super Stallion"", ""COUNT_Aircraft_"": 1}, {""Aircraft"": ""Mil Mi-26"", ""COUNT_Aircraft_"": 2}, {""Aircraft"": ""Robinson R-22"", ""COUNT_Aircraft_"": 2}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""COUNT_Aircraft_"", ""type"": ""quantitative""}, ""color"": {""field"": ""Aircraft"", ""type"": ""nominal""}}}"
10,36,How many wins does each aircraft have?,,,,,,,,1,1,1,1,,,,,Bar,Medium,aircraft,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 36"", ""data"": {""values"": [{""Aircraft"": ""Bell 206B3 JetRanger"", ""COUNT_Aircraft_"": 1}, {""Aircraft"": ""CH-47D Chinook"", ""COUNT_Aircraft_"": 1}, {""Aircraft"": ""CH-53E Super Stallion"", ""COUNT_Aircraft_"": 1}, {""Aircraft"": ""Mil Mi-26"", ""COUNT_Aircraft_"": 2}, {""Aircraft"": ""Robinson R-22"", ""COUNT_Aircraft_"": 2}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""Aircraft"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_Aircraft_"", ""type"": ""quantitative""}}}"
